spec_class,spec_num,temp,ci,seq,absmag
F,8,6170,0.6866,IIIb,
F,9,6010,0.7286,IIIb,
G,0,5900,0.7582,IIIb,
G,1,5800,0.7855,IIIb,
G,2,5750,0.7994,IIIb,
G,3,5710,0.8106,IIIb,
G,4,5690,0.8162,IIIb,
G,5,5620,0.836,IIIb,
G,6,5570,0.8503,IIIb,
G,7,5500,0.8705,IIIb,
G,8,5450,0.8851,IIIb,0.8
G,9,5350,0.9147,IIIb,0.8
K,0,5280,0.9358,IIIb,0.7
K,1,5110,0.9882,IIIb,0.6
K,2,4940,1.0423,IIIb,0.6
K,3,4700,1.122,IIIb,0.4
K,4,4550,1.1739,IIIb,0.3
K,5,4400,1.2275,IIIb,0.1
K,6,4265,1.2774,IIIb,0.05
K,7,4130,1.3288,IIIb,0
K,8,3995,1.382,IIIb,-0.07
K,9,3860,1.437,IIIb,-0.14
M,0,3760,1.479,IIIb,-0.2
M,1,3625,1.5375,IIIb,-0.3
M,2,3490,1.5982,IIIb,-0.6
M,3,3355,1.6613,IIIb,-0.8
M,4,3220,1.7271,IIIb,-1.1
M,5,3085,1.7956,IIIb,
M,6,2950,1.8672,IIIb,
M,7,2815,1.9421,IIIb,
M,8,2680,2.0208,IIIb,
M,9,2545,2.1034,IIIb,
O,1,,,III,
O,2,50100,-0.3904,III,
O,3,44850,-0.3815,III,-6
O,4,42860,-0.3774,III,-6.4
O,5,40860,-0.3728,III,-6.4
O,6,38870,-0.3677,III,-5.6
O,7,36870,-0.3619,III,-5.6
O,8,34880,-0.3554,III,-5.6
O,9,32880,-0.3481,III,-5.6
B,0,29000,-0.331,III,-5
B,1,24500,-0.3049,III,-4.4
B,2,19500,-0.2636,III,-3.6
B,3,16500,-0.2291,III,-2.9
B,4,15700,-0.2181,III,-2.6
B,5,15000,-0.2078,III,-2.2
B,6,13800,-0.1882,III,-1.9
B,7,13000,-0.1736,III,-1.6
B,8,11500,-0.1422,III,-1.4
B,9,10700,-0.1228,III,-0.8
A,0,9800,-0.0983,III,-0.8
A,1,9500,-0.0893,III,-0.4
A,2,8900,0.1004,III,-0.2
A,3,8520,0.1703,III,0
A,4,8335,0.2054,III,0.15
A,5,8150,0.2413,III,0.3
A,6,7990,0.273,III,0.4
A,7,7830,0.3054,III,0.5
A,8,7605,0.352,III,0.55
A,9,7380,0.4001,III,0.6
F,0,7250,0.4285,III,0.6
F,1,7120,0.4575,III,0.6
F,2,7000,0.4847,III,0.6
F,3,6750,0.5428,III,0.6
F,4,6650,0.5667,III,0.7
F,5,6550,0.591,III,0.7
F,6,6400,0.628,III,0.7
F,7,6250,0.666,III,0.6
F,8,6170,0.6866,III,0.6
F,9,6010,0.7286,III,0.6
G,0,5900,0.7582,III,0.6
G,1,5800,0.7855,III,0.5
G,2,5750,0.7994,III,0.4
G,3,5710,0.8106,III,0.4
G,4,5690,0.8162,III,0.4
G,5,5620,0.836,III,0.4
G,6,5570,0.8503,III,0.4
G,7,5500,0.8705,III,0.3
G,8,5450,0.8851,III,0.3
G,9,5350,0.9147,III,0.25
K,0,5280,0.9358,III,0.2
K,1,5110,0.9882,III,0.1
K,2,4940,1.0423,III,0.1
K,3,4700,1.122,III,0.05
K,4,4550,1.1739,III,-0.05
K,5,4400,1.2275,III,-0.2
K,6,4265,1.2774,III,-0.25
K,7,4130,1.3288,III,-0.35
K,8,3995,1.382,III,-0.38
K,9,3860,1.437,III,-0.42
M,0,3760,1.479,III,-0.5
M,1,3625,1.5375,III,-0.64
M,2,3490,1.5982,III,-0.9
M,3,3355,1.6613,III,-1.1
M,4,3220,1.7271,III,-1.3
M,5,3085,1.7956,III,-1.55
M,6,2950,1.8672,III,
M,7,2815,1.9421,III,
